x coord, y coord, z coord, scalar 
14.3238, 10.9013, 0, 0.00505003
14.3238, 10.5304, 0, 0.00542092
12, 10.1863, 0, 0.00625327
12, 9.76923, 0, 0.00546093
12, 9.35214, 0, 0.00503479
9.67621, 9.10037, 0, 0.00544264
9.67621, 8.63713, 0, 0.00468597
9.67621, 8.17388, 0, 0.00449791
14.3238, 10.3145, 0, 0.00595279
14.3238, 9.94358, 0, 0.00567377
14.3238, 9.57264, 0, 0.00506746
12, 9.1094, 0, 0.00505769
12, 8.69231, 0, 0.00450796
12, 8.27522, 0, 0.00378604
9.67621, 7.90428, 0, 0.00521477
9.67621, 7.44104, 0, 0.0054064
9.67621, 6.97779, 0, 0.00540451
14.3238, 9.35676, 0, 0.00488024
14.3238, 8.98583, 0, 0.0057488
14.3238, 8.61489, 0, 0.0068865
12, 8.03248, 0, 0.00374791
12, 7.61538, 0, 0.00471163
12, 7.19829, 0, 0.00576172
9.67621, 6.70819, 0, 0.00546059
9.67621, 6.24494, 0, 0.00506012
9.67621, 5.7817, 0, 0.00419739
14.3238, 8.39901, 0, 0.00592955
14.3238, 8.02807, 0, 0.00489032
14.3238, 7.65713, 0, 0.00449548
12, 6.95555, 0, 0.00629758
12, 6.53846, 0, 0.00627178
12, 6.12137, 0, 0.00633109
9.67621, 5.5121, 0, 0.00416569
9.67621, 5.04885, 0, 0.0061442
9.67621, 4.58561, 0, 0.00767509
15.1127, 19.8955, 0, 0.000377683
15.5001, 19.8897, 0, 0.000565262
15.8874, 19.8772, 0, 0.000776216
15.1129, 19.5366, 0, 0.000579861
15.5008, 19.5112, 0, 0.000654129
15.8887, 19.4563, 0, 0.000733763
15.1132, 19.1779, 0, 0.00074729
15.5024, 19.1336, 0, 0.000698215
15.8916, 19.0372, 0, 0.00064927
15.1135, 18.9696, 0, 0.00082412
15.5037, 18.9159, 0, 0.000755415
15.8939, 18.7963, 0, 0.000656712
15.1142, 18.6126, 0, 0.000962569
15.5065, 18.5448, 0, 0.0008738
15.8988, 18.3871, 0, 0.000751502
15.1149, 18.2557, 0, 0.00111014
15.5098, 18.1745, 0, 0.000984868
15.9047, 17.9792, 0, 0.000828182
15.1154, 18.0483, 0, 0.00123558
15.512, 17.9609, 0, 0.00107908
15.9085, 17.746, 0, 0.000900733
15.1163, 17.6926, 0, 0.00153683
15.5159, 17.5972, 0, 0.00130636
15.9155, 17.352, 0, 0.00105582
15.1172, 17.3371, 0, 0.00186391
15.5202, 17.2338, 0, 0.00155514
15.9231, 16.9587, 0, 0.00120394
15.1178, 17.1304, 0, 0.00194062
15.5227, 17.0243, 0, 0.00173799
15.9276, 16.7347, 0, 0.00142317
